,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,COF,SCHW,BK,STT,AXP,CFG,FITB,MTB,HBAN,ALLY,KEY,RF,SYF,ZION,FHN,WAL,CMA,WBS,EWBC,WTFC,VLY,SNV,ONB,PNFP,CFR,COLB,UMBF,BOKF,FNB,ASB,SF,PB,SOFI,HWC,CBSH,TCBI,BOH,CATY,WSFS,IBOC
JPM,110.60773090174023,87.34686286192725,59.820160811256514,47.47271132241857,40.24488224848862,27.55273633651992,13.737483456055887,10.895899342410647,10.217569097951058,9.264279810726007,9.027226277706587,7.58062195441947,6.195651766486552,4.464067886720803,3.376704790942338,3.2865705874161364,3.192167883581225,3.1168642927694,2.877856214574873,2.788622217888612,2.22988825278707,1.5567979192426185,1.0474173933158129,0.942688277837954,0.9236540960957321,0.898342715593656,0.8941634048596748,0.8472222119591605,0.6808494936058616,0.6460175074627021,0.61342958072242,0.5192228416907306,0.5059593344086094,0.5049950377425163,0.4920836988402006,0.4761128524657373,0.46634059270230366,0.4518982493242654,0.3779619867120407,0.33806096989736584,0.33389865601268537,0.29267662392165666,0.2784451931225416,0.24177183478196113,0.22700254660677163,0.14843039279422265,0.14271138114115325,0.11999757924474169,0.07248931310726678
BAC,87.34686286192728,68.97776845813851,47.239947336059586,37.489173421764114,31.7813608686718,21.75838038296636,10.84848295613331,8.604485580346834,8.068808567945732,7.3159965541728225,7.128795512520707,5.986412892323198,4.892702714137715,3.525271898526947,2.6665818735732945,2.5954029437608193,2.5208531816561397,2.461385978360066,2.2726414334828537,2.2021733965053962,1.7609414986249428,1.2294024409253959,0.8271449261935292,0.7444404026243583,0.7294091200117188,0.7094207370701595,0.7061203377349383,0.6690509041119042,0.5376664620345103,0.5101596621747617,0.4844249947628912,0.4100299859530605,0.39955580171481037,0.39879429718013837,0.3885982201132803,0.37598605171703664,0.36826890368001514,0.35686379324006745,0.29847636825391904,0.2669665577248613,0.26367958079196985,0.23112656524241743,0.2198880123473797,0.19092708189933805,0.17926378333702878,0.11721539767827371,0.11269909739352976,0.09476202081538947,0.05724476977617955
C,59.82016081125649,47.239947336059565,32.35263584480863,25.6747444532266,21.765705781211302,14.901391656836168,7.4296657456364965,5.892847141266272,5.525984680786366,5.010415669501701,4.882209617804502,4.099840225142703,3.3508045231577905,2.4143091687979186,1.8262287993752961,1.7774813700087013,1.726425400607805,1.6856988358794298,1.5564357043042296,1.5081751352817505,1.205994127041219,0.8419655761897356,0.5664764695364817,0.5098356499623808,0.49954136218115963,0.4858521666823911,0.48359186319231173,0.4582045807203883,0.36822495013433454,0.34938670984613723,0.33176212789136494,0.2808121424569284,0.2736388180240946,0.2731172958740136,0.2661344352445763,0.257496896162783,0.252211748860943,0.24440087256574872,0.20441380219382596,0.1828340697200904,0.18058295866394095,0.1582887793281155,0.1505919712294699,0.1307578585907136,0.12277016020376726,0.08027585317807716,0.0771828307104887,0.06489848791635418,0.03920451429409079
WFC,47.47271132241854,37.489173421764086,25.674744453226598,20.375233285490264,17.273057331629683,11.825602854182979,5.896112153183871,4.676507508683127,4.385368945275629,3.9762182758762896,3.8744751712194585,3.253594253789016,2.659166636606421,1.91597282018414,1.4492778258315324,1.4105923289915627,1.3700747967117284,1.3377545818496488,1.2351725886439975,1.1968734595478967,0.9570654821574258,0.668175882508624,0.4495503446421337,0.4046007283214683,0.39643127933503475,0.38556766383591184,0.3837739084592897,0.3636268022712446,0.29221982225346776,0.27726997372588463,0.26328327292183445,0.2228498485109242,0.21715716638831295,0.21674329136452028,0.21120175950685965,0.2043470905490168,0.20015284785969437,0.19395421063591906,0.16222085146985143,0.1450953807882698,0.14330892043988544,0.12561647151586458,0.11950835772921121,0.10376819436510953,0.09742923280914699,0.06370615445364373,0.061251561207382337,0.0515028234684185,0.03111233009705965
GS,40.24488224848865,31.78136086867181,21.765705781211324,17.273057331629705,14.643194774816896,10.025127723413526,4.9984155679920175,3.9644985251189384,3.717686475081347,3.3708299325924687,3.284577448745477,2.7582270736296204,2.254302423185946,1.6242615682075408,1.2286219560918936,1.1958264147865958,1.161477769634929,1.1340783815415005,1.047114731849407,1.0146467329136823,0.8113500695573151,0.5664445733930663,0.3811052746074426,0.3429993403654763,0.33607370870603515,0.3268641035586546,0.3253434515481876,0.3082637884407053,0.24772868474675425,0.23505498491235702,0.2231977913537068,0.18892044845520248,0.1840944902295054,0.1837436286264046,0.1790458076914861,0.1732347777887032,0.16967911815917505,0.16442423765577036,0.13752235513396277,0.12300427660355615,0.12148980893656254,0.10649107590025565,0.10131293643325309,0.08796924900706005,0.08259540887257137,0.05400674646699966,0.051925870666735964,0.04366140058599046,0.026375406551531363
MS,27.55273633651993,21.758380382966358,14.901391656836179,11.82560285418299,10.02512772341352,6.863473949250337,3.422050669570849,2.714203060520232,2.545228846671784,2.307761463793508,2.248710677382141,1.8883569554690858,1.543356492020868,1.1120134593522235,0.8411478658191524,0.8186951500422972,0.7951791373096196,0.7764207741652334,0.7168831043558571,0.694654632956018,0.5554722313535734,0.38780329592187535,0.26091499244255384,0.23482663784027177,0.23008516283984226,0.22378001773288245,0.22273893818280951,0.21104573825215944,0.16960176679549144,0.16092500864797676,0.15280725281021826,0.12934005553112968,0.12603607382874357,0.12579586447290161,0.12257960903011536,0.11860122057897203,0.11616691969892719,0.11256928618875173,0.09415152883260405,0.08421205907862789,0.08317521349758693,0.07290667465134061,0.06936158013305793,0.06022613033497486,0.0565470538395843,0.0369744812920754,0.035549857363007656,0.029891777319690102,0.01805731764838633
USB,13.737483456055893,10.84848295613331,7.429665745636502,5.896112153183877,4.998415567992017,3.422050669570849,1.7061958523772598,1.3532710212470471,1.2690223847816249,1.1506238270558247,1.1211817712293033,0.941513471404313,0.7695001330169533,0.5544373638314333,0.4193868351097799,0.4081921643605359,0.3964673457464453,0.3871146375358588,0.35742982714066274,0.34634696210761867,0.2769521870829174,0.19335434770844961,0.13008927129192902,0.11708191204574256,0.1147178661092463,0.11157419190073999,0.1110551213837181,0.10522502383428725,0.08456152728405171,0.08023539357276252,0.07618797210581746,0.06448749232609487,0.06284016432856744,0.06272039865406,0.06111680997974155,0.059133230386708355,0.05791951543447133,0.05612577595889408,0.04694288995122115,0.0419871824802999,0.0414702229724649,0.036350445365069796,0.03458290123804557,0.0300280690452643,0.028193723016191254,0.018435059184045064,0.017724757767240615,0.014903702898541779,0.009003174836274174
PNC,10.895899342410647,8.60448558034683,5.892847141266272,4.6765075086831285,3.9644985251189357,2.714203060520231,1.3532710212470465,1.0733483230517746,1.0065264291001625,0.9126184894550585,0.889266492144518,0.7467623925998403,0.6103298337096985,0.43975257384682875,0.33263710602496993,0.32375804123516516,0.3144584891129869,0.3070403788333661,0.2834958404832931,0.27470545451399553,0.21966491626861137,0.15335920270899467,0.10318044131289274,0.09286364074964659,0.09098859524751403,0.08849518676765758,0.08808348544527381,0.08345933748846371,0.06707006363100441,0.0636387861622598,0.0604285696010377,0.05114832185074336,0.049841741930016954,0.04974674966026949,0.04847486162940156,0.046901583404719005,0.045938924123471725,0.04451621778610522,0.03723280216398646,0.033302177610638084,0.03289215063739436,0.02883139368404469,0.027429464214725828,0.02381679430666939,0.022361880839012412,0.014621786434413506,0.014058410124259613,0.011820887510522826,0.007140877518940596
TFC,10.217569097951058,8.068808567945728,5.525984680786368,4.385368945275632,3.7176864750813445,2.545228846671783,1.2690223847816244,1.0065264291001628,0.9438645691425345,0.8558029202582318,0.8339047144656271,0.7002722865143517,0.5723334120935565,0.41237553395823734,0.3119285988742121,0.3036023051774733,0.29488170181997836,0.2879254101017513,0.26584665001860197,0.25760351439331575,0.20598955532142443,0.1438117406597808,0.09675688582841836,0.0870823633946028,0.0853240498880462,0.08298586993320883,0.08259979930452739,0.07826353023824183,0.06289457969626812,0.05967691830555782,0.056666555553214606,0.0479640547632469,0.0467388166986794,0.04664973822526344,0.045457032287749284,0.043981699369756364,0.04307897097489659,0.04174483600803308,0.034914853456851594,0.031228932110678925,0.03084443159360509,0.027036479312021702,0.025721827737785502,0.02233406659447372,0.020969729570042676,0.01371149902675678,0.01318319602062121,0.011084971615674975,0.006696318236511755
COF,9.26427981072601,7.31599655417282,5.010415669501702,3.976218275876292,3.3708299325924664,2.3077614637935073,1.1506238270558242,0.9126184894550586,0.8558029202582318,0.7759573378073447,0.7561022133769915,0.6349375613487944,0.5189352598286349,0.37390129658655874,0.28282596312638675,0.2752765045562126,0.2673695250342057,0.26106224858665866,0.24104341540595606,0.23356935633981976,0.18677092959101038,0.13039424473350925,0.08772956222128121,0.07895766334760623,0.07736339878589304,0.07524336875313427,0.07489331813967426,0.07096161877169829,0.057026576409557016,0.05410911970591821,0.05137962087873755,0.04348905497226453,0.042378130430811525,0.042297362892571605,0.04121593526226947,0.039878249474658595,0.039059744763518874,0.0378500832951393,0.031657331491854686,0.028315303032451455,0.02796667604070885,0.02451400201381577,0.02332200615642755,0.020250319842131995,0.019013274138864167,0.012432229465797792,0.011953216617754604,0.010050754514805478,0.0060715582395378664
