,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,COF,SCHW,BK,STT,AXP,FITB,HBAN,RF,KEY,CFG,MTB,SYF,ALLY,SOFI,ZION,CMA,WAL,FHN,WBS,EWBC,PNFP,CBSH,BOKF,FNB,ONB,SNV,VLY,WTFC,ASB,CFR,UMBF,PB,IBOC,HWC,SF,BOH,WSFS,TCBI,COLB,CATY
JPM,1.0,0.7881595812285511,0.8014069729018695,0.7470460309713489,0.805401076937776,0.8105610367342099,0.7267100517579509,0.6820929223939094,0.7070726933484431,0.7244776902960276,0.7420756397976965,0.7117416541182104,0.7146478046189262,0.7238864853353537,0.6444570269335786,0.6932971742260452,0.6810385014064227,0.6692257496395002,0.7040019798413065,0.6859201610139904,0.7101641387066651,0.6019153012307414,0.5664698070883092,0.6452955326137563,0.5613041121439115,0.6440737306498434,0.6648979353125377,0.6611856543166942,0.6611725367999427,0.577782721240019,0.5893769028095323,0.5467580332127281,0.6898727332894221,0.6578776727156401,0.5648819497537496,0.5790340863656649,0.6613731293320452,0.645048708706995,0.6296019441291252,0.6062407768160948,0.5316842421036695,0.5495407075303105,0.6344387387654857,0.7189140240385227,0.5582330004832313,0.536911791263232,0.588987136074541,0.5927449736722711,0.5337628502525328
BAC,0.7881595812285511,1.0,0.8337349088533899,0.8559979774098943,0.735506419414868,0.8132914618775282,0.7950068304302467,0.7490579783248353,0.8024606506722674,0.7456760959866258,0.677204932414612,0.7068064393639424,0.7571525695540913,0.7629432276887175,0.7425541072512107,0.7739761166535369,0.7508157049880171,0.7635462901021848,0.787305406145396,0.7646717058509266,0.7596109628293637,0.6495236036084148,0.5503176231129631,0.7320271840580711,0.6132907463722703,0.6959065391861671,0.6914337121990264,0.7314136951009458,0.7342940212715465,0.6809945940991111,0.6500543761191546,0.6331199386546303,0.7628917901713762,0.7209380140365084,0.6809313387057405,0.6642512830238172,0.7362039162320041,0.7182993099354813,0.7052307662142252,0.6895179220068862,0.5981071854567549,0.622340110154961,0.6925836356784749,0.7607547855668394,0.6196593115355985,0.638304139753558,0.6620359651039539,0.6731104821342598,0.64070178442857
C,0.8014069729018695,0.8337349088533899,1.0,0.7947355051795972,0.8286359031546288,0.8566956315775746,0.7743797821553445,0.7499798610761468,0.7797556670431651,0.780062923031148,0.6789461094757573,0.7107067968308264,0.7270056683026503,0.7711366499508135,0.6910360884681367,0.7338581003386807,0.731822496059461,0.7717322955676126,0.782616208276213,0.7336202482109445,0.7961285559665247,0.6957445221646882,0.6414450043792651,0.7167120768249854,0.60991536863541,0.7333553478169682,0.7365497330485907,0.7446899447070889,0.7362777430235307,0.6619108079652463,0.6113748297183629,0.6317794867972668,0.7611494844595762,0.7080890806498953,0.661767869908075,0.6542734642560931,0.7459860184152376,0.7277214958067006,0.6987329383329967,0.6861486589183582,0.5717068689934677,0.6223718776361504,0.7082461054099919,0.779955046161877,0.6123836126177705,0.6226056315574509,0.6671336919399999,0.6723269544209305,0.6225033372283478
WFC,0.7470460309713489,0.8559979774098943,0.7947355051795972,1.0,0.7235317456535013,0.7784059022972641,0.7796678711441949,0.725524366096358,0.7681604311939796,0.7429937963238795,0.6871451414430918,0.6753860720881022,0.7794997462061745,0.7314386658810946,0.6907772434318242,0.722992716510809,0.725599056508802,0.7626542087303554,0.7599686304274501,0.742222158192895,0.7464035290818167,0.677918528088249,0.5982453414081749,0.7149632322154549,0.6300540216490004,0.7123070963275873,0.7126591708357346,0.7224708742329802,0.7093898494801095,0.6500693444915839,0.6099073546447905,0.6222074275625536,0.7503438317861528,0.7145794139179003,0.6830713758554834,0.6553087287576543,0.7168954067144796,0.721794814181559,0.6825782065317304,0.68178663131444,0.58681721172968,0.6312803204582212,0.6910058645096289,0.7331557981129917,0.588734745079445,0.6313723518964204,0.6453542864469993,0.6511625550143508,0.6293095960136644
GS,0.805401076937776,0.735506419414868,0.8286359031546288,0.7235317456535013,1.0,0.9170977384148656,0.7420648093514325,0.7145331148015113,0.725645885865863,0.754141080608604,0.7025661018907372,0.7378927946933371,0.7873344587502802,0.7499427729139324,0.6618007522447513,0.703982458823376,0.7203908402550745,0.7417740211113366,0.7345778415418155,0.7022527816635662,0.7486661248301055,0.6732530361529332,0.6825833805406054,0.6506147698803746,0.6189934972365602,0.6984721005996355,0.7147082630011825,0.6896970589642281,0.6893569815890043,0.6194747323444292,0.5718382769971246,0.5802813626805707,0.7100441601482808,0.6815304487088807,0.619094674457707,0.6282724770509757,0.7009826819799506,0.6922105909631115,0.6592735643787723,0.6706846220597924,0.5032815064846233,0.5830248820476567,0.6572533061091127,0.8014099545366612,0.6012178624719006,0.5659450452033644,0.6232152347456894,0.6079685779142142,0.5601664066651971
MS,0.8105610367342099,0.8132914618775282,0.8566956315775746,0.7784059022972641,0.9170977384148656,1.0,0.7586772086875517,0.7115628079910075,0.7420809778008974,0.7630684967250158,0.7460330206089049,0.7499773029583771,0.7928227771280376,0.7579827674526003,0.6727915766809731,0.7199058665209616,0.7114999579591487,0.750882014300846,0.7610302307507004,0.7245284947062618,0.759410194061552,0.666791051885631,0.6620210095849941,0.6714818634380771,0.6143644878484128,0.6948751421703346,0.6875459705145732,0.7051025277649235,0.6997779553908292,0.6583347957927804,0.581310339298159,0.5908399611420434,0.7216359223924826,0.7046519496851269,0.6567420087413852,0.6302230511480735,0.6959217750343241,0.6945061207027763,0.660982052719218,0.6774023938362187,0.5353674827397112,0.589703846320634,0.6456319678691853,0.8262208518982241,0.5952695320937177,0.5832717004872353,0.6353328863383733,0.6180064375578445,0.5936087260984813
USB,0.7267100517579509,0.7950068304302467,0.7743797821553445,0.7796678711441949,0.7420648093514325,0.7586772086875517,1.0,0.8992014094125239,0.8911867711879978,0.7778682865397428,0.6240276261127551,0.6743126564532216,0.7830264933843123,0.8043300543822167,0.883354985650368,0.8703723683017229,0.8841431771221163,0.8857024671462974,0.884613020860661,0.8952268033956484,0.8178620847586101,0.7507806668529804,0.560777253972255,0.8334481992426588,0.7321016719234918,0.8255643803904589,0.8251970612573547,0.8537803719183922,0.851246268772489,0.787413787270304,0.7626296381540297,0.7731599702188283,0.8709122008628662,0.8606125425679506,0.7797605378769558,0.800008860868904,0.8621242109785446,0.8758631172713287,0.83179021065749,0.8341475190963906,0.7601581313179506,0.7653961905318291,0.8598485166517007,0.7778894390005224,0.7740367397216273,0.7899106812063513,0.8000643920387197,0.8081565069180232,0.7903470687589452
PNC,0.6820929223939094,0.7490579783248353,0.7499798610761468,0.725524366096358,0.7145331148015113,0.7115628079910075,0.8992014094125239,1.0,0.890821166856325,0.7511411519389146,0.5747750593468428,0.6386675210050158,0.7107417174240647,0.7958508832479357,0.8837902485607447,0.896246625753944,0.8814632220542995,0.8840678897091094,0.8773787823933051,0.894033707970866,0.7974449855188208,0.7396241046807123,0.4979918749119414,0.8334306645081766,0.7084909897454326,0.814430196094858,0.8193804250699086,0.8396841888593123,0.8292291432301575,0.7937745933349825,0.7907342543917852,0.7875129911584889,0.8622560614241257,0.8422611492960282,0.7630493942519666,0.7945329502880644,0.8435565521438085,0.8500338186086835,0.8300832416867153,0.828507463049752,0.7497664160076916,0.7656888148889164,0.8513882012114695,0.7431753082370114,0.7628034549487215,0.7867898359583049,0.807443089618805,0.8081392304104221,0.780854746210601
TFC,0.7070726933484431,0.8024606506722674,0.7797556670431651,0.7681604311939796,0.725645885865863,0.7420809778008974,0.8911867711879978,0.890821166856325,1.0,0.8024150617288683,0.5809874769544721,0.6566643899863072,0.7697440818722596,0.8405337051449282,0.8829825416002582,0.8998960201337043,0.8980898499206575,0.9183633608947512,0.9306504435773828,0.9008425452740769,0.8254062198249035,0.7796356454697027,0.5690193660166483,0.8947379293127777,0.7373326584144562,0.8925630444997474,0.8556282364062178,0.8833735843441161,0.8744421837236349,0.8050235043181236,0.806350527387681,0.8016464605189135,0.912216068837779,0.879925867376143,0.7998287635803821,0.8449177556438221,0.885442286712362,0.8832194964348247,0.8402106085714481,0.8570149032583907,0.7837653271638274,0.796728119485812,0.8758462665003776,0.7865783105945046,0.8020127955016615,0.8251615771485153,0.8215262106384836,0.8418443103418489,0.8181162859942319
COF,0.7244776902960276,0.7456760959866258,0.780062923031148,0.7429937963238795,0.754141080608604,0.7630684967250158,0.7778682865397428,0.7511411519389146,0.8024150617288683,1.0,0.637853339725864,0.660053841530982,0.746769036975532,0.842598686353133,0.7341108325560828,0.7779414586353117,0.7758168520695906,0.8111268792229688,0.8172908761147551,0.7665585978256433,0.8728321379975819,0.7494228544978232,0.6179402625392699,0.7842861721322667,0.6517332657450681,0.7960846676197546,0.756576830455428,0.788523437405239,0.7834201880179892,0.7098037477741838,0.6771295558452646,0.6650420683856649,0.8159751651903228,0.7883001500394645,0.700772535562102,0.7175294929317036,0.7802581790289885,0.8059759308732359,0.7134071185408362,0.7548989103492456,0.6440254178845833,0.7240126942809229,0.7552683639532316,0.7769595292503584,0.6592925688672394,0.6752299158101418,0.717722275442731,0.6975983953563215,0.6909375945358016
