Bank,Total_Assets,Equity,Total_Liabilities,HQLA,Net_Outflows_30d,Bad_Loans,Total_Loans,Est_CDS_Spread,Stock_Volatility,Interbank_Assets,Interbank_Liabilities
JPM,4002.81,344.76,3658.06,866.01,731.66,0,0,134.66,0.26,480.3372,480.3372
BAC,3261.52,295.56,2965.96,642.92,582.24,0,0,225.45,0.28,379.3220166,379.3220166
C,2352.95,208.6,2143.58,498.02,408.14,0,0,347.94,0.32,259.781557,259.781557
WFC,1929.84,179.12,1748.78,363.46,326.7,0,0,203.96,0.29,206.1601757,206.1601757
GS,1675.97,122,1553.98,218.55,286.35,0,0,208.2,0.32,174.7718165,174.7718165
MS,1215.07,104.51,1109.64,100.08,198.02,0,0,151.52,0.31,119.6535189,119.6535189
USB,678.32,58.58,619.28,142.87,103.98,0,0,200.71,0.27,59.65789448,59.65789448
PNC,560.04,54.42,505.57,55.64,83.14,0,0,156.68,0.25,47.31772127,47.31772127
TFC,531.18,63.68,467.5,44.32,76.43,0,0,213.12,0.28,44.37193035,44.37193035
COF,490.14,60.78,429.36,47.08,69.57,0,0,153.59,0.38,40.23207228,40.23207228
SCHW,479.84,48.38,431.47,124.7,69.75,0,0,80.22,0.25,39.20261774,39.20261774
BK,416.06,41.32,374.3,148.41,59.54,0,0,122.74,0.23,32.92043598,32.92043598
STT,353.24,25.33,327.91,134.55,51.19,0,0,283.49,0.29,26.90591333,26.90591333
AXP,271.46,30.26,241.2,41.5,36.5,0,0,62.57,0.32,19.38614825,19.38614825
CFG,217.52,24.25,193.27,43.85,28.48,0,0,248.8,0.33,14.66404664,14.66404664
FITB,212.93,19.64,193.28,58.94,28.4,0,0,141.79,0.29,14.27262001,14.27262001
MTB,208.1,29.03,179.08,35.23,26.24,0,0,150.76,0.26,13.86265653,13.86265653
HBAN,204.23,19.74,184.45,17.21,26.97,0,0,178.4,0.31,13.53563494,13.53563494
ALLY,191.84,13.9,177.93,29.3,25.81,0,0,488.98,0.33,12.49769238,12.49769238
KEY,187.17,18.18,168.99,22.51,24.44,0,0,231.99,0.31,12.11017509,12.11017509
RF,157.3,17.88,139.39,34.16,19.72,0,0,180.17,0.29,9.683756017,9.683756017
SYF,119.46,16.58,102.88,17.79,14.04,0,0,188.99,0.39,6.760720498,6.760720498
ZION,88.78,6.12,82.65,12.63,10.84,0,0,350.29,0.37,4.54862905,4.54862905
FHN,82.15,8.82,73.04,8.94,9.48,0,0,220.74,0.33,4.093820967,4.093820967
WAL,80.93,6.71,74.23,8.53,9.61,0,0,351.57,0.43,4.011161052,4.011161052
CMA,79.3,6.54,72.75,14.18,9.39,0,0,251.24,0.34,3.90124109,3.90124109
WBS,79.03,9.13,69.89,2.08,9.02,0,0,257.98,0.37,3.883091559,3.883091559
EWBC,75.98,7.72,68.25,5.48,8.76,0,0,174.46,0.35,3.679239613,3.679239613
WTFC,64.88,6.34,58.54,8.76,7.34,0,0,208.21,0.32,2.956731295,2.956731295
VLY,62.49,7.44,55.06,2.12,6.87,0,0,265.71,0.32,2.805466111,2.805466111
SNV,60.23,5.24,54.97,10.53,6.82,0,0,358.15,0.4,2.663946225,2.663946225
ONB,53.55,6.34,47.21,8.69,5.76,0,0,193.44,0.34,2.254833762,2.254833762
PNFP,52.59,6.43,46.16,8.92,5.62,0,0,149.64,0.37,2.197234208,2.197234208
CFR,52.52,3.9,48.62,25.26,5.91,0,0,176.67,0.29,2.193046548,2.193046548
COLB,51.58,5.12,46.46,2.08,5.64,0,0,207.89,0.36,2.136976359,2.136976359
UMBF,50.41,3.47,46.94,16.33,5.68,0,0,179.18,0.32,2.067619619,2.067619619
BOKF,49.69,5.55,44.13,14.29,5.32,0,0,166.42,0.27,2.025181538,2.025181538
FNB,48.62,6.3,42.32,5.39,5.09,0,0,223.5,0.31,1.962462642,1.962462642
ASB,43.02,4.61,38.42,5.57,4.53,0,0,284.74,0.32,1.641378961,1.641378961
SF,39.9,5.69,34.21,3,3.99,0,0,120.65,0.34,1.468100452,1.468100452
PB,39.57,7.44,32.13,12.95,3.74,0,0,139.41,0.26,1.450024733,1.450024733
SOFI,36.25,6.53,29.73,4.34,3.42,0,0,135.17,0.64,1.271009439,1.271009439
HWC,35.08,4.13,30.95,6.68,3.54,0,0,185.1,0.31,1.209206475,1.209206475
CBSH,32,3.31,28.66,12.51,3.23,0,0,110.49,0.24,1.049944748,1.049944748
TCBI,30.73,3.37,27.36,3.37,3.06,0,0,218.53,0.32,0.985806026,0.985806026
BOH,23.6,1.67,21.93,2.62,2.35,0,0,213.36,0.27,0.644590018,0.644590018
CATY,23.05,2.85,20.21,1.71,2.16,0,0,196.34,0.3,0.619754014,0.619754014
WSFS,20.81,2.59,18.23,1.17,1.91,0,0,165.5,0.29,0.52111458,0.52111458
IBOC,15.74,2.8,12.94,5.34,1.29,0,0,102.38,0.27,0.3148,0.3148
